Date,Apple,AMD,Amazon,Bed Bath and Beyond,Berkshire Hathaway,Capital One,Dish,Ford,IBM,Microsoft,Netflix,Norfolk Southern,Nvidia,Sirius XM,WIX
06-11-2013,18.604286193847656,3.319999933242798,17.80900001525879,76.0,172220.0,69.29000091552734,48.84000015258789,16.90999984741211,171.30975341796875,38.18000030517578,47.9471435546875,42.720001220703125,3.724999904632568,3.650000095367432,16.309999465942383
07-11-2013,18.30321311950684,3.2799999713897705,17.17799949645996,75.48999786376953,171090.0,68.8499984741211,48.20000076293945,16.549999237060547,172.08413696289062,37.5,46.69428634643555,42.41999816894531,3.637500047683716,3.5999999046325684,16.559999465942383
08-11-2013,18.591428756713867,3.2699999809265137,17.515499114990234,75.76000213623047,173201.0,69.58999633789062,48.25,16.850000381469727,172.07456970214844,37.77999877929688,47.84285736083984,44.52000045776367,3.890000104904175,3.660000085830689,17.299999237060547
11-11-2013,18.537500381469727,3.3399999141693115,17.7189998626709,76.55999755859375,173485.0,69.68000030517578,47.5,16.889999389648438,174.8374786376953,37.59000015258789,48.272857666015625,44.5099983215332,3.922499895095825,3.7100000381469727,17.940000534057617
12-11-2013,18.571786880493164,3.440000057220459,17.476499557495117,76.41999816894531,171211.0,69.51000213623047,50.34999847412109,16.719999313354492,175.0191192626953,37.36000061035156,47.67571258544922,48.34999847412109,3.930000066757202,3.7200000286102295,17.549999237060547
13-11-2013,18.593929290771484,3.539999961853028,17.81100082397461,78.16000366210938,172150.0,70.05999755859375,51.52000045776367,17.100000381469727,175.47801208496094,38.15999984741211,47.89714431762695,49.02999877929688,4.037499904632568,3.740000009536743,17.270000457763672
14-11-2013,18.86285781860352,3.5199999809265137,18.3700008392334,78.0999984741211,173320.0,70.69000244140625,51.060001373291016,17.09000015258789,174.1969451904297,38.02000045776367,48.93857192993164,48.68999862670898,4.054999828338623,3.740000009536743,17.34000015258789
15-11-2013,18.749643325805664,3.5,18.458499908447266,78.16000366210938,174300.0,70.37000274658203,50.93999862670898,17.06999969482422,175.13385009765625,37.84000015258789,49.96571350097656,47.88999938964844,4.042500019073486,3.859999895095825,17.65999984741211
18-11-2013,18.522499084472656,3.470000028610229,18.30900001525879,77.18000030517578,173810.0,69.41999816894531,50.58000183105469,16.979999542236328,176.35755920410156,37.20000076293945,48.82428741455078,47.869998931884766,3.944999933242798,3.759999990463257,18.739999771118164
19-11-2013,18.55535697937012,3.4200000762939453,18.246999740600582,77.19000244140625,173760.0,69.25,49.63999938964844,16.8700008392334,177.10325622558594,36.7400016784668,48.18428421020508,48.5099983215332,3.859999895095825,3.680000066757202,18.11000061035156
